
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
     10     3.30       8.36       0.02   12248   0 svchost
     10     3.52       9.29       0.03   12468   1 svchost
     14     3.48      10.93       0.14   12516   0 svchost
     38    17.70      28.19       0.41   12772   0 svchost
     15    24.37      16.88       3.00   12948   0 svchost
     24     4.00       8.73       1.09   13000   0 svchost
     24    13.33      39.48       5.34   13148   1 svchost
     26    11.89      38.57       0.77   13664   1 svchost
     11     3.68       9.71       0.06   13764   1 svchost
     20     7.70      27.80       0.89   13776   1 svchost
      9     2.89       7.49       0.00   15208   0 svchost
     12     4.42      12.75       1.17   15900   0 svchost
     28     7.78      23.41       1.11   16024   0 svchost
     19     5.85      19.83       0.25   16164   0 svchost
     16     5.05      15.09       0.62   16292   0 svchost
     16     7.23      22.53      11.89   16324   0 svchost
     13     4.12      11.19       0.05   19000   0 svchost
     17     5.22      20.29       0.22   19400   1 svchost
     26     7.17      21.76       0.25   20532   1 svchost
     24     5.17      13.46       0.20   22072   0 svchost
     16     5.14      19.23       0.25   22168   1 svchost
     10     3.46      10.06       0.05   22588   1 svchost
     14     4.09      11.48       0.75   23984   0 svchost
      8     4.00       6.77       0.03   24972   0 svchost
     11     3.39       9.06       0.02   27868   0 svchost
     16     9.45      12.71       0.02   33456   0 svchost
     46    34.20      23.10       6.84   43644   0 svchost
     17     5.58      17.36       0.00   45732   0 svchost
     21     6.39      15.02       0.61   45832   0 svchost
     92    31.10      48.32       7.69   46064   0 svchost
      0     0.05       3.73   4,280.16       4   0 System
     70    80.35      57.29       0.34   25108   1 SystemSettings
     43    15.54      24.09       1.61   13788   1 taskhostw
     99   135.42     186.05     307.25   20744   1 Taskmgr
    110   189.92     188.08      17.05    6116   1 TextInputHost
     40    23.35      31.60       0.06    6620   0 ThermalPrintingService
     15     5.54       9.34      47.31    6768   0 tvnserver
     11     4.83       8.48      11.16   16380   1 tvnserver
      8     4.54       6.97       0.06    8312   0 uhssvc
      9     4.90       9.15       0.11   12200   1 unsecapp
      9     4.79       9.39       0.11   15652   1 unsecapp
     11     5.75       9.32       0.02   20936   1 UserOOBEBroker
     14     5.71       7.91       0.86    6812   0 vmnat
     10    11.19       6.84       0.11    6672   0 vmnetdhcp
     17     7.54      12.54       0.02    6612   0 vmware-authd
     19     7.27      12.38       0.03   24248   1 vmware-tray
     14     6.45      12.05       0.44    6780   0 vmware-usbarbitrator64
     16    16.03      17.30       0.06    6740   0 WavesAudioService
     31    83.09      31.56       6.25   12176   1 WavesSvc64
     39    75.09     225.64       4.80    6652   0 WavesSysSvc64
      6     3.98       4.60       0.00    6632   0 WDTRpcServer
     41    17.38      58.39       2.39   19104   1 Widgets
     20     6.70      22.61       0.20   19340   1 WidgetService
     42    73.96      79.71       4.45   18012   1 WindowsTerminal
     13     1.61       6.36       0.02    1732   0 wininit
     14     4.00      12.08       0.31    1636   1 winlogon
    141   264.98     258.32      16.94    6964   1 WINWORD
      9     4.76       7.09       0.00    5348   0 wlanext
     14     5.48      11.74       0.03   49068   0 WmiApSrv
     36    65.96      68.60      87.45    4296   0 WmiPrvSE
     13    10.06      15.72      13.06   11328   0 WmiPrvSE
     26    30.76      53.23      29.80   37220   0 WmiPrvSE
     15     6.53      14.63       0.05    6704   0 WMIRegistrationService
     26    11.15      14.05       0.50   11448   0 WUDFHost
     12     5.09       9.25       0.03   11928   0 WUDFHost
     10     4.89       8.41       0.00   22204   0 WUDFHost

